S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.178	-1.0635	0.	807.92
6.4378e-002	15.243	-1.0623	0.	807.44
0.12876	15.307	-1.0612	0.	806.98
0.19313	15.371	-1.06	0.	806.53
0.25751	15.436	-1.0588	0.	806.11
0.32189	15.5	-1.0577	0.	805.72
0.38627	15.564	-1.0565	0.	805.38
0.45065	15.629	-1.0553	0.	805.07
0.51502	15.693	-1.0542	0.	804.78
0.5794	15.758	-1.053	0.	804.52
0.64378	15.822	-1.0518	0.	804.28
0.70816	15.886	-1.0507	0.	804.06
0.77253	15.951	-1.0495	0.	803.86
0.83691	16.015	-1.0483	0.	803.68
0.90129	16.079	-1.0472	0.	803.5
0.96567	16.144	-1.046	0.	803.34
1.03	16.208	-1.0448	0.	803.19
1.0944	16.272	-1.0437	0.	803.05
1.1588	16.337	-1.0425	0.	802.91
1.2232	16.401	-1.0413	0.	802.79
1.2876	16.466	-1.0402	0.	802.67
1.3519	16.53	-1.039	0.	802.56
1.4163	16.594	-1.0378	0.	802.45
1.4807	16.659	-1.0367	0.	802.35
1.5451	16.723	-1.0355	0.	802.26
1.6094	16.787	-1.0343	0.	802.17
1.6738	16.852	-1.0331	0.	802.09
1.7382	16.916	-1.032	0.	802.01
1.8026	16.981	-1.0308	0.	801.93
1.867	17.045	-1.0296	0.	801.86
1.9313	17.109	-1.0285	0.	801.79
1.9957	17.174	-1.0273	0.	801.73
2.0601	17.238	-1.0261	0.	801.66
2.1245	17.302	-1.025	0.	801.61
2.1888	17.367	-1.0238	0.	801.55
2.2532	17.431	-1.0226	0.	801.5
2.3176	17.495	-1.0215	0.	801.45
2.382	17.56	-1.0203	0.	801.4
2.4464	17.624	-1.0191	0.	801.35
2.5107	17.689	-1.018	0.	801.31
2.5751	17.753	-1.0168	0.	801.27
2.6395	17.817	-1.0156	0.	801.23
2.7039	17.882	-1.0145	0.	801.19
2.7682	17.946	-1.0133	0.	801.16
2.8326	18.01	-1.0121	0.	801.13
2.897	18.075	-1.011	0.	801.1
2.9614	18.139	-1.0098	0.	801.07
3.0258	18.203	-1.0086	0.	801.04
3.0901	18.268	-1.0075	0.	801.02
