S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.064	-0.53596	0.	807.33
6.3738e-002	15.128	-0.53442	0.	806.93
0.12748	15.191	-0.53288	0.	806.54
0.19122	15.255	-0.53133	0.	806.18
0.25495	15.319	-0.52979	0.	805.83
0.31869	15.383	-0.52825	0.	805.5
0.38243	15.446	-0.52671	0.	805.19
0.44617	15.51	-0.52517	0.	804.94
0.50991	15.574	-0.52363	0.	804.7
0.57365	15.638	-0.52209	0.	804.48
0.63738	15.701	-0.52054	0.	804.27
0.70112	15.765	-0.519	0.	804.07
0.76486	15.829	-0.51746	0.	803.9
0.8286	15.892	-0.51592	0.	803.73
0.89234	15.956	-0.51438	0.	803.57
0.95608	16.02	-0.51284	0.	803.42
1.0198	16.084	-0.5113	0.	803.28
1.0836	16.147	-0.50976	0.	803.15
1.1473	16.211	-0.50821	0.	803.03
1.211	16.275	-0.50667	0.	802.91
1.2748	16.338	-0.50513	0.	802.8
1.3385	16.402	-0.50359	0.	802.7
1.4022	16.466	-0.50205	0.	802.6
1.466	16.53	-0.50051	0.	802.51
1.5297	16.593	-0.49897	0.	802.42
1.5935	16.657	-0.49742	0.	802.34
1.6572	16.721	-0.49588	0.	802.26
1.7209	16.784	-0.49434	0.	802.18
1.7847	16.848	-0.4928	0.	802.11
1.8484	16.912	-0.49126	0.	802.05
1.9122	16.976	-0.48972	0.	801.98
1.9759	17.039	-0.48818	0.	801.92
2.0396	17.103	-0.48663	0.	801.86
2.1034	17.167	-0.48509	0.	801.8
2.1671	17.231	-0.48355	0.	801.75
2.2308	17.294	-0.48201	0.	801.7
2.2946	17.358	-0.48047	0.	801.66
2.3583	17.422	-0.47893	0.	801.61
2.4221	17.485	-0.47739	0.	801.57
2.4858	17.549	-0.47585	0.	801.53
2.5495	17.613	-0.4743	0.	801.49
2.6133	17.677	-0.47276	0.	801.45
2.677	17.74	-0.47122	0.	801.42
2.7407	17.804	-0.46968	0.	801.39
2.8045	17.868	-0.46814	0.	801.36
2.8682	17.931	-0.4666	0.	801.33
2.932	17.995	-0.46506	0.	801.31
2.9957	18.059	-0.46351	0.	801.29
3.0594	18.123	-0.46197	0.	801.27
