S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.115	-0.80108	0.	809.
6.4647e-002	15.18	-0.80147	0.	808.23
0.12929	15.244	-0.80187	0.	807.55
0.19394	15.309	-0.80226	0.	806.96
0.25859	15.373	-0.80265	0.	806.46
0.32324	15.438	-0.80305	0.	806.04
0.38788	15.503	-0.80344	0.	805.69
0.45253	15.567	-0.80383	0.	805.35
0.51718	15.632	-0.80423	0.	805.03
0.58182	15.697	-0.80462	0.	804.74
0.64647	15.761	-0.80501	0.	804.47
0.71112	15.826	-0.80541	0.	804.24
0.77577	15.891	-0.8058	0.	804.03
0.84041	15.955	-0.80619	0.	803.84
0.90506	16.02	-0.80659	0.	803.65
0.96971	16.085	-0.80698	0.	803.48
1.0344	16.149	-0.80737	0.	803.32
1.099	16.214	-0.80776	0.	803.18
1.1636	16.279	-0.80816	0.	803.04
1.2283	16.343	-0.80855	0.	802.91
1.2929	16.408	-0.80894	0.	802.79
1.3576	16.472	-0.80934	0.	802.68
1.4222	16.537	-0.80973	0.	802.57
1.4869	16.602	-0.81012	0.	802.47
1.5515	16.666	-0.81052	0.	802.38
1.6162	16.731	-0.81091	0.	802.28
1.6808	16.796	-0.8113	0.	802.2
1.7455	16.86	-0.8117	0.	802.12
1.8101	16.925	-0.81209	0.	802.04
1.8748	16.99	-0.81248	0.	801.97
1.9394	17.054	-0.81288	0.	801.9
2.0041	17.119	-0.81327	0.	801.83
2.0687	17.184	-0.81366	0.	801.77
2.1334	17.248	-0.81406	0.	801.71
2.198	17.313	-0.81445	0.	801.65
2.2626	17.378	-0.81484	0.	801.6
2.3273	17.442	-0.81524	0.	801.55
2.3919	17.507	-0.81563	0.	801.5
2.4566	17.571	-0.81602	0.	801.46
2.5212	17.636	-0.81641	0.	801.41
2.5859	17.701	-0.81681	0.	801.37
2.6505	17.765	-0.8172	0.	801.33
2.7152	17.83	-0.81759	0.	801.3
2.7798	17.895	-0.81799	0.	801.26
2.8445	17.959	-0.81838	0.	801.23
2.9091	18.024	-0.81877	0.	801.2
2.9738	18.089	-0.81917	0.	801.17
3.0384	18.153	-0.81956	0.	801.14
3.1031	18.218	-0.81995	0.	801.12
