Node Number	Total Deformation (mm)
1	1.7069
2	1.7115
3	1.7077
4	1.7085
5	1.7093
6	1.7101
7	1.7108
8	1.1839
9	1.1871
10	1.1907
11	1.1946
12	1.1987
13	1.2031
14	1.2075
15	1.212
16	1.2165
17	1.2211
18	1.2256
19	1.2302
20	1.2347
21	1.2393
22	1.2438
23	1.2484
24	1.2529
25	1.2575
26	1.262
27	1.2665
28	1.2711
29	1.2756
30	1.2801
31	1.2847
32	1.2892
33	1.2937
34	1.2983
35	1.3028
36	1.3073
37	1.3119
38	1.3164
39	1.3209
40	1.3254
41	1.33
42	1.3345
43	1.339
44	1.3436
45	1.3481
46	1.3527
47	1.3572
48	1.3617
49	1.3663
50	1.3708
51	1.3753
52	1.3799
53	1.3844
54	1.3889
55	1.3935
56	1.398
57	1.4025
58	1.4071
59	1.4116
60	1.4161
61	1.4207
62	1.4252
63	1.4297
64	1.4343
65	1.4388
66	1.4433
67	1.4478
68	1.4524
69	1.4569
70	1.4614
71	1.466
72	1.4705
73	1.475
74	1.4796
75	1.4841
76	1.4886
77	1.4931
78	1.4977
79	1.5022
80	1.5067
81	1.5113
82	1.5158
83	1.5203
84	1.5248
85	1.5294
86	1.5339
87	1.5384
88	1.543
89	1.5475
90	1.552
91	1.5566
92	1.5611
93	1.5656
94	1.5702
95	1.5747
96	1.5792
97	1.5837
98	1.5883
99	1.5928
100	1.5973
101	1.6018
102	1.6064
103	1.6109
104	1.6154
105	1.6199
106	1.6245
107	1.629
108	1.6335
109	1.638
110	1.6426
111	1.6471
112	1.6516
113	1.6561
114	1.6607
115	1.6652
116	1.6697
117	1.6742
118	1.6787
119	1.6833
120	1.6878
121	1.6923
122	1.6968
123	1.7014
124	1.7063
125	1.1791
126	1.1815
127	1.0488
128	1.0502
129	1.0516
130	1.053
131	1.0545
132	1.056
133	1.0575
134	1.0591
135	1.0608
136	1.0625
137	1.0642
138	1.0659
139	1.0677
140	1.0695
141	1.0714
142	1.0733
143	1.0752
144	1.0772
145	1.0792
146	1.0812
147	1.0833
148	1.0854
149	1.0875
150	1.0897
151	1.0919
152	1.0941
153	1.0963
154	1.0986
155	1.1009
156	1.1032
157	1.1056
158	1.108
159	1.1104
160	1.1128
161	1.1153
162	1.1177
163	1.1202
164	1.1228
165	1.1253
166	1.1278
167	1.1304
168	1.133
169	1.1356
170	1.1382
171	1.1409
172	1.1435
173	1.1462
174	1.1489
175	1.1516
176	1.1543
177	1.157
178	1.1597
179	1.1625
180	1.1652
181	1.168
182	1.1708
183	1.1735
184	1.1763
185	0.99712
186	0.99827
187	0.99958
188	1.0011
189	1.0028
190	1.0046
191	1.0065
192	1.0084
193	1.0104
194	1.0124
195	1.0145
196	1.0166
197	1.0186
198	1.0207
199	1.0228
200	1.0249
201	1.027
202	1.0291
203	1.0312
204	1.0333
205	1.0354
206	1.0376
207	1.0397
208	1.0418
209	1.0437
210	1.0455
211	1.0471
212	0.93834
213	0.99622
214	0.99532
215	0.99443
216	0.99353
217	0.99264
218	0.99174
219	0.99085
220	0.98995
221	0.98906
222	0.98817
223	0.98728
224	0.98639
225	0.9855
226	0.98461
227	0.98373
228	0.98284
229	0.98196
230	0.98107
231	0.98019
232	0.97931
233	0.97843
234	0.97755
235	0.97667
236	0.9758
237	0.97492
238	0.97405
239	0.97318
240	0.97231
241	0.97145
242	0.97058
243	0.96972
244	0.96886
245	0.96801
246	0.96715
247	0.9663
248	0.96546
249	0.96461
250	0.96377
251	0.96293
252	0.9621
253	0.96127
254	0.96044
255	0.95962
256	0.95881
257	0.95799
258	0.95719
259	0.95638
260	0.95559
261	0.9548
262	0.95401
263	0.95323
264	0.95246
265	0.9517
266	0.95094
267	0.95019
268	0.94945
269	0.94871
270	0.94798
271	0.94727
272	0.94656
273	0.94586
274	0.94518
275	0.9445
276	0.94384
277	0.94318
278	0.94254
279	0.94191
280	0.9413
281	0.94069
282	0.94009
283	0.9395
284	0.93892
285	0.80961
286	0.81135
287	0.81308
288	0.81482
289	0.81656
290	0.81829
291	0.82003
292	0.82177
293	0.82351
294	0.82525
295	0.82699
296	0.82874
297	0.83048
298	0.83222
299	0.83397
300	0.83571
301	0.83746
302	0.8392
303	0.84095
304	0.8427
305	0.84445
306	0.84619
307	0.84794
308	0.84969
309	0.85144
310	0.85319
311	0.85495
312	0.8567
313	0.85845
314	0.8602
315	0.86196
316	0.86371
317	0.86547
318	0.86722
319	0.86898
320	0.87073
321	0.87249
322	0.87425
323	0.87601
324	0.87777
325	0.87953
326	0.88129
327	0.88305
328	0.88481
329	0.88657
330	0.88833
331	0.8901
332	0.89186
333	0.89363
334	0.8954
335	0.89716
336	0.89893
337	0.9007
338	0.90247
339	0.90424
340	0.90601
341	0.90779
342	0.90956
343	0.91134
344	0.91312
345	0.91489
346	0.91668
347	0.91846
348	0.92024
349	0.92203
350	0.92382
351	0.92562
352	0.92742
353	0.92922
354	0.93103
355	0.93285
356	0.93467
357	0.9365
358	0.42378
359	0.4238
360	0.42388
361	0.42401
362	0.42418
363	0.42441
364	0.42469
365	0.42502
366	0.4254
367	0.42583
368	0.42631
369	0.42684
370	0.42741
371	0.42804
372	0.42872
373	0.42945
374	0.43022
375	0.43105
376	0.43192
377	0.43284
378	0.43381
379	0.43482
380	0.43588
381	0.43699
382	0.43815
383	0.43935
384	0.4406
385	0.44189
386	0.44323
387	0.44461
388	0.44603
389	0.4475
390	0.44901
391	0.45057
392	0.45216
393	0.4538
394	0.45548
395	0.4572
396	0.45896
397	0.46077
398	0.46261
399	0.46449
400	0.46641
401	0.46836
402	0.47036
403	0.47239
404	0.47446
405	0.47656
406	0.4787
407	0.48088
408	0.48309
409	0.48533
410	0.48761
411	0.48992
412	0.49227
413	0.49464
414	0.49705
415	0.49949
416	0.50196
417	0.50447
418	0.507
419	0.50956
420	0.51215
421	0.51477
422	0.51742
423	0.5201
424	0.5228
425	0.52553
426	0.52829
427	0.53107
428	0.53388
429	0.53672
430	0.53958
431	0.54246
432	0.54537
433	0.54831
434	0.55126
435	0.55424
436	0.55725
437	0.56027
438	0.56332
439	0.56639
440	0.56948
441	0.57259
442	0.57572
443	0.57887
444	0.58205
445	0.58524
446	0.58845
447	0.59168
448	0.59493
449	0.5982
450	0.60149
451	0.60479
452	0.60811
453	0.61145
454	0.61481
455	0.61818
456	0.62157
457	0.62498
458	0.6284
459	0.63184
460	0.63529
461	0.63876
462	0.64224
463	0.64574
464	0.64925
465	0.65278
466	0.65632
467	0.65988
468	0.66345
469	0.66703
470	0.67062
471	0.67423
472	0.67785
473	0.68148
474	0.68513
475	0.68878
476	0.69245
477	0.69613
478	0.69982
479	0.70352
480	0.70724
