S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.115	-0.80108	0.	809.
8.5902e-002	15.201	-0.80032	0.	807.98
0.1718	15.287	-0.79957	0.	807.12
0.25771	15.373	-0.79881	0.	806.42
0.34361	15.459	-0.79805	0.	805.88
0.42951	15.544	-0.79729	0.	805.4
0.51541	15.63	-0.79654	0.	804.96
0.60132	15.716	-0.79578	0.	804.57
0.68722	15.802	-0.79502	0.	804.24
0.77312	15.888	-0.79427	0.	803.95
0.85902	15.974	-0.79351	0.	803.69
0.94493	16.06	-0.79275	0.	803.44
1.0308	16.146	-0.79199	0.	803.22
1.1167	16.232	-0.79124	0.	803.03
1.2026	16.317	-0.79048	0.	802.84
1.2885	16.403	-0.78972	0.	802.67
1.3744	16.489	-0.78896	0.	802.52
1.4603	16.575	-0.78821	0.	802.37
1.5462	16.661	-0.78745	0.	802.23
1.6321	16.747	-0.78669	0.	802.1
1.718	16.833	-0.78594	0.	801.98
1.8039	16.919	-0.78518	0.	801.87
1.8899	17.005	-0.78442	0.	801.76
1.9758	17.091	-0.78366	0.	801.66
2.0617	17.176	-0.78291	0.	801.56
2.1476	17.262	-0.78215	0.	801.47
2.2335	17.348	-0.78139	0.	801.39
2.3194	17.434	-0.78063	0.	801.3
2.4053	17.52	-0.77988	0.	801.22
2.4912	17.606	-0.77912	0.	801.15
2.5771	17.692	-0.77836	0.	801.08
2.663	17.778	-0.77761	0.	801.01
2.7489	17.864	-0.77685	0.	800.94
2.8348	17.95	-0.77609	0.	800.88
2.9207	18.035	-0.77533	0.	800.82
3.0066	18.121	-0.77458	0.	800.76
3.0925	18.207	-0.77382	0.	800.7
3.1784	18.293	-0.77306	0.	800.65
3.2643	18.379	-0.7723	0.	800.6
3.3502	18.465	-0.77155	0.	800.55
3.4361	18.551	-0.77079	0.	800.51
3.522	18.637	-0.77003	0.	800.46
3.6079	18.723	-0.76928	0.	800.42
3.6938	18.809	-0.76852	0.	800.38
3.7797	18.894	-0.76776	0.	800.34
3.8656	18.98	-0.767	0.	800.31
3.9515	19.066	-0.76625	0.	800.27
4.0374	19.152	-0.76549	0.	800.24
4.1233	19.238	-0.76473	0.	800.21
