S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.064	-0.53596	0.	807.33
8.5894e-002	15.15	-0.53671	0.	806.8
0.17179	15.236	-0.53747	0.	806.3
0.25768	15.322	-0.53822	0.	805.82
0.34358	15.408	-0.53898	0.	805.38
0.42947	15.493	-0.53973	0.	805.
0.51536	15.579	-0.54049	0.	804.67
0.60126	15.665	-0.54124	0.	804.37
0.68715	15.751	-0.54199	0.	804.09
0.77304	15.837	-0.54275	0.	803.83
0.85894	15.923	-0.5435	0.	803.6
0.94483	16.009	-0.54426	0.	803.38
1.0307	16.095	-0.54501	0.	803.18
1.1166	16.181	-0.54577	0.	803.
1.2025	16.267	-0.54652	0.	802.84
1.2884	16.352	-0.54728	0.	802.68
1.3743	16.438	-0.54803	0.	802.53
1.4602	16.524	-0.54878	0.	802.39
1.5461	16.61	-0.54954	0.	802.26
1.632	16.696	-0.55029	0.	802.14
1.7179	16.782	-0.55105	0.	802.02
1.8038	16.868	-0.5518	0.	801.91
1.8897	16.954	-0.55256	0.	801.81
1.9756	17.04	-0.55331	0.	801.71
2.0615	17.125	-0.55407	0.	801.62
2.1473	17.211	-0.55482	0.	801.53
2.2332	17.297	-0.55558	0.	801.45
2.3191	17.383	-0.55633	0.	801.36
2.405	17.469	-0.55708	0.	801.29
2.4909	17.555	-0.55784	0.	801.21
2.5768	17.641	-0.55859	0.	801.14
2.6627	17.727	-0.55935	0.	801.08
2.7486	17.813	-0.5601	0.	801.01
2.8345	17.898	-0.56086	0.	800.95
2.9204	17.984	-0.56161	0.	800.89
3.0063	18.07	-0.56237	0.	800.83
3.0922	18.156	-0.56312	0.	800.78
3.1781	18.242	-0.56387	0.	800.73
3.264	18.328	-0.56463	0.	800.68
3.3499	18.414	-0.56538	0.	800.63
3.4358	18.5	-0.56614	0.	800.58
3.5216	18.586	-0.56689	0.	800.54
3.6075	18.671	-0.56765	0.	800.5
3.6934	18.757	-0.5684	0.	800.46
3.7793	18.843	-0.56916	0.	800.42
3.8652	18.929	-0.56991	0.	800.39
3.9511	19.015	-0.57067	0.	800.35
4.037	19.101	-0.57142	0.	800.32
4.1229	19.187	-0.57217	0.	800.29
