S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.115	-0.80108	0.	809.
0.10826	15.223	-0.80326	0.	807.74
0.21653	15.331	-0.80544	0.	806.73
0.32479	15.44	-0.80762	0.	805.95
0.43305	15.548	-0.80981	0.	805.31
0.54131	15.656	-0.81199	0.	804.76
0.64958	15.764	-0.81417	0.	804.3
0.75784	15.873	-0.81635	0.	803.91
0.8661	15.981	-0.81853	0.	803.56
0.97437	16.089	-0.82071	0.	803.24
1.0826	16.197	-0.82289	0.	802.96
1.1909	16.306	-0.82507	0.	802.7
1.2992	16.414	-0.82725	0.	802.48
1.4074	16.522	-0.82944	0.	802.26
1.5157	16.63	-0.83162	0.	802.07
1.6239	16.739	-0.8338	0.	801.89
1.7322	16.847	-0.83598	0.	801.73
1.8405	16.955	-0.83816	0.	801.57
1.9487	17.063	-0.84034	0.	801.43
2.057	17.171	-0.84252	0.	801.29
2.1653	17.28	-0.8447	0.	801.16
2.2735	17.388	-0.84689	0.	801.04
2.3818	17.496	-0.84907	0.	800.93
2.49	17.604	-0.85125	0.	800.82
2.5983	17.713	-0.85343	0.	800.72
2.7066	17.821	-0.85561	0.	800.62
2.8148	17.929	-0.85779	0.	800.52
2.9231	18.037	-0.85997	0.	800.43
3.0314	18.146	-0.86215	0.	800.35
3.1396	18.254	-0.86434	0.	800.27
3.2479	18.362	-0.86652	0.	800.19
3.3561	18.47	-0.8687	0.	800.11
3.4644	18.579	-0.87088	0.	800.04
3.5727	18.687	-0.87306	0.	799.97
3.6809	18.795	-0.87524	0.	799.91
3.7892	18.903	-0.87742	0.	799.84
3.8975	19.012	-0.8796	0.	799.78
4.0057	19.12	-0.88178	0.	799.72
4.114	19.228	-0.88397	0.	799.66
4.2223	19.336	-0.88615	0.	799.61
4.3305	19.445	-0.88833	0.	799.56
4.4388	19.553	-0.89051	0.	799.51
4.547	19.661	-0.89269	0.	799.46
4.6553	19.769	-0.89487	0.	799.41
4.7636	19.878	-0.89705	0.	799.36
4.8718	19.986	-0.89923	0.	799.32
4.9801	20.094	-0.90142	0.	799.28
5.0884	20.202	-0.9036	0.	799.23
5.1966	20.31	-0.90578	0.	799.19
