S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.064	-0.53596	0.	807.33
0.10702	15.171	-0.53507	0.	806.65
0.21403	15.278	-0.53418	0.	806.01
0.32105	15.385	-0.53329	0.	805.43
0.42806	15.492	-0.5324	0.	804.93
0.53508	15.599	-0.53151	0.	804.51
0.64209	15.706	-0.53062	0.	804.13
0.74911	15.813	-0.52973	0.	803.78
0.85613	15.92	-0.52884	0.	803.47
0.96314	16.027	-0.52795	0.	803.19
1.0702	16.134	-0.52706	0.	802.94
1.1772	16.241	-0.52617	0.	802.71
1.2842	16.348	-0.52528	0.	802.5
1.3912	16.455	-0.52439	0.	802.31
1.4982	16.562	-0.5235	0.	802.13
1.6052	16.669	-0.52261	0.	801.96
1.7123	16.776	-0.52172	0.	801.81
1.8193	16.883	-0.52083	0.	801.66
1.9263	16.99	-0.51994	0.	801.52
2.0333	17.097	-0.51905	0.	801.39
2.1403	17.204	-0.51816	0.	801.27
2.2473	17.311	-0.51727	0.	801.15
2.3543	17.418	-0.51638	0.	801.04
2.4614	17.525	-0.51549	0.	800.94
2.5684	17.632	-0.51461	0.	800.84
2.6754	17.739	-0.51372	0.	800.74
2.7824	17.846	-0.51283	0.	800.65
2.8894	17.953	-0.51194	0.	800.57
2.9964	18.06	-0.51105	0.	800.49
3.1035	18.167	-0.51016	0.	800.41
3.2105	18.274	-0.50927	0.	800.33
3.3175	18.381	-0.50838	0.	800.26
3.4245	18.488	-0.50749	0.	800.19
3.5315	18.595	-0.5066	0.	800.12
3.6385	18.702	-0.50571	0.	800.06
3.7456	18.809	-0.50482	0.	800.
3.8526	18.916	-0.50393	0.	799.94
3.9596	19.023	-0.50304	0.	799.88
4.0666	19.13	-0.50215	0.	799.83
4.1736	19.238	-0.50126	0.	799.77
4.2806	19.345	-0.50037	0.	799.72
4.3876	19.452	-0.49948	0.	799.67
4.4947	19.559	-0.49859	0.	799.63
4.6017	19.666	-0.4977	0.	799.58
4.7087	19.773	-0.49681	0.	799.54
4.8157	19.88	-0.49592	0.	799.5
4.9227	19.987	-0.49503	0.	799.46
5.0297	20.094	-0.49414	0.	799.42
5.1368	20.201	-0.49325	0.	799.38
